ANNUAL_SALES,IN_DEFAULT,LGD_EFFECTIVE,BALANCE,RETURN_ON_ASSETS,DEBT_SRV_CVR_RATIO,CASH_INT_CVR_RATIO,DEBT_DEBT_EQ_RATIO,CASH_FLOW_OP_LIAB,EBITDA_VOLATILITY,NET_WORTH_CPI,NEGATIVE_NPAT_FLAG,MARKET_POSITION,LONG_RUN_AVERAGE_PD
197981000.0,False,60.32,2000000.0,0.0718897747,0.0,2.936691115,0.7854110381,0.0,0.0,6.70375529,False,4,0.028049614
87871899.0,False,60.32,1853478.32,0.2111265513,0.0,12.50526893,0.4540897481,-0.036073985,-1.0,6.430889969,False,3,0.0171232097
87871899.0,False,60.32,1853478.32,0.2111265513,0.0,12.50526893,0.4540897481,-0.036073985,-1.0,6.430889969,False,3,0.0154139597
71911544.0,False,60.32,115736.03,-0.021073681,0.0,3.981911535,0.475832993,0.258673541,0.5,7.101945415,True,0,0.0292828885
71911544.0,False,60.32,216174.34,0.073512721,0.0,4.644830825,0.3786372987,0.058155895,0.5,7.162943772,False,-1,0.0241811597
75805000.0,False,60.32,88829.04,0.1144041234,1.021174291,4.915428898,0.5302098513,0.0710257024,-0.333333333,7.175077814,False,0,0.0194059387
75805000.0,False,60.32,88829.04,-0.021073681,0.0,3.981911535,0.475832993,0.258673541,0.5,7.101945415,True,0,0.0292828885
115388000.0,False,60.32,60955.96,-0.185503552,0.0,-2.01996921,0.763730754,-0.061980723,3.25,6.36090817,True,2,0.1533932249
169443000.0,False,60.32,115247.45,-0.00622527,0.0,1.061297898,0.9401337029,0.0,0.0,4.9506995,True,1,0.0912192828
15108000.0,False,60.32,1240625.01,0.011257124,1.659503233,1827.722073,0.5849359828,0.0,-0.5,6.424626244,False,1,0.0231958595
40003177.0,False,60.32,339636.45,0.2669587248,0.0,34.33338263,0.3559081651,0.0,-1.0,7.402090722,False,2,0.008651014
44418000.0,False,60.32,1249999.98,0.218960119,0.0,18.34958097,0.6276085768,0.0,-1.0,6.469213422,False,0,0.0193440759
840991000.0,False,60.32,133254.37,0.0183715732,49.76013622,16.65345981,0.6931948699,0.0234292912,0.5,7.79048944,False,4,0.0180089903
121617000.0,False,34.66,1556011.47,0.0764939322,0.0,2.875274553,0.6339854952,0.0,-0.666666667,6.653472118,False,1,0.0260805985
330895389.0,False,60.32,48268.05,0.0136615547,0.0,3.155126656,0.4448005567,0.0,0.0,8.290652883,False,2,0.0168021307
330895389.0,False,60.32,5527.42,0.0136615547,0.0,3.155126656,0.4448005567,0.0,0.0,8.290652883,False,2,0.0198055195
46238000.0,False,60.32,544034.14,0.0102469515,0.0,1.939783286,0.8003925707,0.0525325616,-0.333333333,6.453726711,False,2,0.0299885312
182021295.0,False,60.32,3024.27,0.0932174948,0.0,473.4678668,0.0,0.101528544,-1.0,7.406150408,False,4,0.0048834505
182021295.0,False,0.0,0.0,0.0932174948,0.0,473.4678668,0.0,0.101528544,-1.0,7.406150408,False,4,0.0066558814
182021295.0,False,0.0,0.0,0.0932174948,0.0,473.4678668,0.0,0.101528544,-1.0,7.406150408,False,4,0.0066558814
50879533.0,False,60.32,0.06,0.1713725215,0.0,11.04098361,1.0,0.0,-1.0,4.9506995,False,3,0.0288352818
61049000.0,False,57.42374554,0.0,0.1344662738,13.1707841,70.50204082,1.0,0.1306841348,0.0,4.9506995,False,5,0.0239447806
143123413.0,False,60.32,156001.83,0.0851903189,0.0,4.670238284,0.5515362153,0.7328040838,-1.0,7.382316551,False,2,0.0110573334
58895000.0,False,60.32,920000.0,0.0286290322,1.088769255,2.393228601,0.8051482505,0.0,1.0,6.194880065,False,5,0.0353693898
213515625.0,False,60.32,20219.96,0.0506833053,0.0,5.306737604,0.4000386221,0.0281372456,1.0,7.707639131,False,0,0.0206200814
58556706.0,False,0.0,0.0,0.3138850145,0.0,0.0,0.5482509796,0.0,1.0,6.906326837,False,3,0.0171661799
58556706.0,False,60.32,477455.77,0.3138850145,0.0,0.0,0.5482509796,0.0,1.0,6.906326837,False,3,0.0171661799
56188000.0,False,60.32,1650576.61,0.1209450043,0.0,20.56085852,0.3771500728,0.0,0.0,6.731716023,False,0,0.0211670416
56188000.0,False,46.79417427,3119262.74,0.1209450043,0.0,20.56085852,0.3771500728,0.0,0.0,6.731716023,False,0,0.0282362116
56188000.0,False,60.32,0.0,0.1209450043,0.0,20.56085852,0.3771500728,0.0,0.0,6.731716023,False,0,0.0211670416
67348000.0,False,34.66,1186269.2,0.0420344423,0.0,1.731040626,0.3306637034,0.0,0.0,4.9506995,False,0,0.0397621023
180668000.0,False,60.32,211173.24,0.0161063246,0.0,2.483854922,0.0,0.0400561199,0.0,7.144001743,False,5,0.0207068532
58556706.0,False,60.32,114207.59,0.3138850145,0.0,0.0,0.5482509796,0.0,1.0,6.906326837,False,3,0.0171661799
71136000.0,False,34.66,2965340.77,0.0351120572,1.040043094,2.161160201,0.7641857096,0.0,0.0,6.276860963,False,4,0.0337777749
22646000.0,False,40.52130823,18351656.21,0.2601739765,3.412787741,4.554929222,0.3595336569,0.0,0.5,4.9506995,False,1,0.0344834426
53623000.0,False,60.32,94492.22,0.0348573152,1.830257143,6.083036633,0.7827157946,0.1643300106,0.0,7.023084378,False,3,0.0203545543
53623000.0,False,60.32,50560.99,0.0440164309,0.0,5.757910102,0.7711153405,0.3829825434,-1.0,7.057716903,False,3,0.0154900806
45700085.0,False,60.32,274597.78,0.0944163658,0.0,3.735980351,0.4857676672,0.0,1.0,6.561760176,False,0,0.0278974436
463144000.0,False,60.32,8478.36,0.0274779999,0.0,2.711969996,0.0,0.0,0.0,7.837606022,False,3,0.0171584662
377840000.0,False,60.32,16589.36,0.0579093485,0.0,8.169087214,0.2766732864,-0.03567158,1.0,7.970309289,False,5,0.0157481516
100437000.0,False,34.66,5533932.25,0.0510002865,0.0,3.112725278,0.7785018792,0.0,-1.0,6.624693683,False,3,0.0262848607
178589000.0,False,60.32,509840.62,0.0775447888,0.0,2.574240457,0.7942625946,0.0,-1.0,6.846568531,False,4,0.0240845014
51768000.0,False,52.04770183,7044660.69,0.0893155903,1.442507644,5.313575352,0.4925666959,0.0,1.0,6.844567442,False,0,0.0245408741
51768000.0,False,52.04770183,7044660.69,0.2112796411,0.0,6.641806838,0.5463395937,0.0,-1.0,6.661458811,False,3,0.0181854835
192247162.0,True,47.09,1520967.91,,,,,,,,True,-1,1.0
24000000000.0,False,60.32,202132.36,,,,,,,,True,5,1.0
118876119.0,False,60.32,40534.11,-0.078022015,0.0,2.232648211,0.0,0.0,1.0,7.139214038,True,4,0.0248027524
118876119.0,False,60.32,91713.99,-0.078022015,0.0,2.232648211,0.0,0.0,1.0,7.139214038,True,4,0.0248027524
45665000.0,False,60.32,364088.34,0.0512728841,0.0,3.178251917,0.4817861866,0.0,0.0,6.969653632,False,0,0.0254150288
71756000.0,False,44.9311183,5281170.97,0.2672804325,2.646486613,7.070779247,0.4285714285,0.0,-1.0,4.9506995,False,4,0.0209936358
